trade_id,from_team,to_team,asset_type,asset_name,asset_detail,acq_date,end_date,conditional_flag,condition_notes,condition_validation
20230301_ARI_OTT,OTT,ARI,PICK,2025 1st Round Pick,Unprotected (if conditional 2024 protected),2023-03-01,,Y,"If conditional 2024 1st is protected top-10, conveys as unprotected 2025 1st.",CONDITION_NOT_MET__NOT_CONVEYED
20230301_ARI_OTT,DRAFT,NSH,PROSPECT,Cameron Reid,Drafted with 2025 1st Round Pick,2025-06-27,,0,,
20250306_NYI_COL,NYI,COL,PLAYER,Brock Nelson,,2025-03-06,,N,,
20250306_NYI_COL,NYI,COL,RETAINED,Salary retention,50% retained by NYI,2025-03-06,,N,,
20250306_NYI_COL,COL,NYI,PICK,2026 1st Round Pick,Conditional,2025-03-06,,Y,"If transferred to PHI (Sean Walker terms) OR top-10, does not convey; replaced by 2027 1st.",PENDING_FUTURE
20250306_NYI_COL,COL,NYI,PICK,2027 1st Round Pick,Replacement,2025-03-06,,Y,Conveys if 2026 1st cannot convey (PHI transfer) or is top-10.,PENDING_FUTURE
20250306_NYI_COL,COL,NYI,PICK,2028 3rd Round Pick,Conditional,2025-03-06,,Y,Conveys if COL wins Cup and Nelson plays >=50% playoff games.,PENDING_FUTURE
20250305_SEA_TBL,SEA,TBL,PLAYER,Oliver Bjorkstrand,,2025-03-05,,N,,
20250305_SEA_TBL,SEA,TBL,PLAYER,Yanni Gourde,,2025-03-05,,N,,
20250305_SEA_TBL,DET,TBL,RETAINED,Gourde retention,25% retained by DET,2025-03-05,,N,Part of 3-team trade; retention applied to Gourde.,
20250305_SEA_TBL,SEA,TBL,RETAINED,Gourde retention,50% retained by SEA,2025-03-05,,N,Part of 3-team trade; retention applied to Gourde.,
20250305_SEA_TBL,TBL,SEA,PICK,2025 2nd Round Pick,Toronto pick,2025-03-05,,N,Pick is TOR's 2025 2nd per note.,DRAFT_OCCURRED_NEEDS_USED_ON_PLAYER_MAPPING
20250305_SEA_TBL,DRAFT,PHI,PROSPECT,Matthew Gard,Drafted with 2025 2nd Round Pick,2025-06-28,,0,,
20240630_TBL_UTA,TBL,UTA,PLAYER,Mikhail Sergachev,,2024-06-30,,N,,
20240624_BOS_OTT,BOS,OTT,PLAYER,Linus Ullmark,,2024-06-24,,N,,
20240619_CGY_NJD,CGY,NJD,PLAYER,Jacob Markstrom,,2024-06-19,,N,,
20240308_SJS_VGK,SJS,VGK,PLAYER,Tomas Hertl,,2024-03-08,,N,,
20240308_PIT_CAR,PIT,CAR,PLAYER,Jake Guentzel,,2024-03-08,,N,,
20240308_PIT_CAR,CAR,PIT,PICK,2024 1st Round Pick,Conditional (SCF),2024-03-08,,Y,Conveys if CAR reaches 2024 Stanley Cup Final; otherwise a 2nd.,CONDITION_NOT_MET__NOT_CONVEYED
20240308_PIT_CAR,DRAFT,CHI,PROSPECT,Marek Vanacker,Drafted with 2024 1st Round Pick,2024-06-28,,0,,
20240308_PIT_CAR,CAR,PIT,PICK,2024 2nd Round Pick,Conditional (if no SCF),2024-03-08,,Y,Conveys if CAR does not reach 2024 Stanley Cup Final.,CONDITION_MET__CONVEYED_AND_USED
20240308_PIT_CAR,DRAFT,PIT,PROSPECT,Harrison Brunicke,Drafted with 2024 2nd Round Pick,2024-06-29,,0,,
20240308_PIT_CAR,CAR,PIT,PICK,2024 5th Round Pick,Conditional,2024-03-08,,Y,Conveys if CAR wins 2024 Stanley Cup.,CONDITION_NOT_MET__NOT_CONVEYED
20240308_PIT_CAR,DRAFT,CAR,PROSPECT,Justin Poirier,Drafted with 2024 5th Round Pick,2024-06-29,,0,,
20220318_CHI_TBL,CHI,TBL,PLAYER,Brandon Hagel,,2022-03-18,,N,,
20220318_CHI_TBL,TBL,CHI,PICK,2023 1st Round Pick,Conditional (top-10) | Used on Oliver Moore,2022-03-18,2023-06-28,Y,"If top-10, does not convey; replaced by unprotected 2025 1st.",CONVEYED_AND_USED
20220318_CHI_TBL,DRAFT,CHI,PROSPECT,Oliver Moore,Drafted with 2023 1st Round Pick,2023-06-28,,N,,
20220318_CHI_TBL,TBL,CHI,PICK,2025 1st Round Pick,Unprotected (replacement),2022-03-18,,Y,Conveys if 2023 1st is top-10 and does not convey.,CONDITION_NOT_MET__NOT_CONVEYED
20220318_CHI_TBL,DRAFT,OTT,PROSPECT,Logan Hensler,Drafted with 2025 1st Round Pick,2025-06-27,,0,,
20220318_CHI_TBL,TBL,CHI,PICK,2024 1st Round Pick,Conditional (both top-10 scenario),2022-03-18,2024-06-28,Y,"If 2023 and 2024 1sts are top-10, then TBL conveys unprotected 2025 and 2026 1sts.",CONVEYED_AND_USED
20220318_CHI_TBL,DRAFT,NYI,PROSPECT,Cole Eiserman,Drafted with 2024 1st Round Pick,2024-06-28,,N,,
20220318_CHI_TBL,TBL,CHI,PICK,2026 1st Round Pick,Unprotected (both top-10 scenario),2022-03-18,,Y,Only if both 2023 and 2024 1sts are top-10 (per note).,CONDITION_NOT_MET__NOT_CONVEYED
